rec_id,record_url,Item Number,Title,Language,Other Language,Pages,Captured Date,Report Date,Intel Date,Batch Number,Origin Office,Human Source Number,Col. Proj. Number,Source,Country,Related Country,Security Classification,Document Type,Map Locations,map_grid_ref,map_lat,map_lon,Log Number,Intel,Subject,Keyword,Organization,Personality,Location,Location C,Location P
43060,https://cdec.vietnam.ttu.edu/search/item.php?rec=43060,F034601362740,"Captured Documents (CDEC): Unknown Interrogation Source, Log Number 06-2646-67, 05/11/1967, CTZ 3, Bien Hoa Province",English,Vietnamese,5,1967/05/11,1967/05/15,1965/06/19,67 1183,,,,Viet Cong,"The Viet Cong, Central Office, SVN, NLFVN",,Confidential | No Control | No Release Restriction | Raw Intelligence,Foreign Organizations | Doc Indexed MACV | Captured Official Documents | Fixed zero | Indexing system used,"48PYT0237 [11.18778°, 106.84658°]",48PYT0237,11.18778,106.84658,06-2646-67,Armed Forces | General,Log # 06-2646-67 | Biography | Enlisted Personnel | Combined Document Exploitation Center,Unknown G Description | HSTOR,"Other Organization | South Vietnamese, LMilitary, LViet Cong, LNon-Christian, LNon-CP Member, LNon-Infiltrator",Mai Thi | C:TO | C:SAUTAN | Tan | Hong Phuc | Phuc,CTZ 3 | TINHPHONG | An Tinh | CTZ 3,Combat Tactical Zone 3 | Combat Tactical Zone 3,Bien Hoa | Tay Ninh
43272,https://cdec.vietnam.ttu.edu/search/item.php?rec=43272,F034601371691,"Captured Documents (CDEC): Unknown Interrogation Source, Log Number 06-2192-67, 00/00/19EN, CTZ 2, Binh Dinh Province",English,Vietnamese,9,1967/01/09,1967/01/26,1965/08/23,67 1194,,,,Viet Cong,North Vietnamese troops in South Viet Nam,,Confidential | No Control | No Release Restriction | Raw Intelligence,Foreign Organizations | Doc Indexed MACV | Captured Official Documents | Fixed zero | Indexing system used,"49PBR7375 [14.24078°, 108.89199°]",49PBR7375,14.24078,108.89199,06-2192-67,"Governmental Politics, & International Activities & Institutes | Internal Security & Counter intelligence | Personal Documentation | Internal Movement Documentation",Log # 06-2192-67 | Combined Document Exploitation Center,Letter of Introduction | LTRINT,US 1st Cav. AirMobile | Unit UT-C009 | Unit UT-D0010 | Unit UT-507 | Unit UT-E0011 | Unit UT-1551 | Unit UT-41,Thanh Bich | Bich | Ngoc Dai | Dai | Nguyen Van | C:VOI | Do Van Bau | Bau | C:7601 | Le Van | C:DIEM | Doan Hong | C:SUM | Nguyen Van | C:ON | Tran Van Danh | Tran Van Da | Da | Danh,CTZ 2 | BINHXUUYEN | DRV | Loc Ninh | DRV | LONGXU | DRV,Combat Tactical Zone 2 | DRV | DRV | DRV,Binh Dinh | Hai Duong | Quang Binh | Hai Duong
43277,https://cdec.vietnam.ttu.edu/search/item.php?rec=43277,F034601371722,"Captured Documents (CDEC): Unknown Interrogation Source, Log Number 06-2257-67, 06/09/1967, CTZ 3, Tay Ninh Province",English,Vietnamese,11,1967/06/09,1967/06/11,1967/06/09,67 1194,,,,Viet Cong,"North Viet Nam, Hampi Gov and its active forces",,Confidential | No Control | No Release Restriction | Raw Intelligence,Foreign Organizations | Doc Indexed MACV | Captured Official Documents | Fixed zero | Indexing system used,"48PXT4250 [11.30821°, 106.29773°]",48PXT4250,11.30821,106.29773,06-2257-67,Unknown 3A Code,"Log # 06-2257-67 | Engineering drawings, graphs & technical diagrams and sketches | Combined Document Exploitation Center",Unknown G Description | Unknown G Description | HQ | HQ,US 25th Inf. Div. (Inc. 25th MI Det) | Unit UT-C1 | Unit UT-C2 | Unit UT-C3 | Group GP-9 | Unit UT-T22 | Unit UT-B27,,CTZ 3 | AUTIENG | CTZ 3 | STAISRUNG | Tonle Cham | Ca Tum | Ben | Bo Tuc | STRANG | SNGO | SCHAVA | SRACHTRAU | SBACHI | SANHDOI | SMAYTAU | VOTUNG | Loc Ninh | SSANCHAU | AIGON | Ba Den | Suoi Da | SDA | Trai Den | BAHAO | BAUGON | Bau Me | CANKHOI | Ben Cui | Ong Hung | VAMCODONG | TRANGBAUBUT | RTE19 | Bao Don | SUOIHUNG | Soc Xoai | Cha Do | Tri Gia | XUANLUU,Combat Tactical Zone 3 | Combat Tactical Zone 3,Tay Ninh | Hau Hghia
43725,https://cdec.vietnam.ttu.edu/search/item.php?rec=43725,F034601391155,"Captured Documents (CDEC): Unknown Interrogation Source, Log Number 08-7167-67, , Loc Ninh",English,Vietnamese,4,,1967/07/15,1967/07/10,67 1424,,,,Unknown,,,Confidential | No Control | No Release Restriction | Raw Intelligence,"Joint UCS, DIA, CINCPAC, MACV and other unified commands | Doc Indexed MACV | State DEpartment Telegram | Fixed zero | Indexing system used","48PXU7201 [11.76793°, 106.57512°]",48PXU7201,11.76793,106.57512,08-7167-67,"Unknown Intelligence Subject Code | Armed Forces | Ground Forces | Infantry | Brigades, Regiments, Battalions, & Smaller Units | Unknown 7A Code | Resources, Commodities & Weapons | Quartermaster & Miscellaneous Military Equipment | Clothing & Related Equipment",Log # 08-7167-67 | Order of Battle | Operations | Tactics | Product Specifications and Description | Combined Document Exploitation Center,Route-13 | RTE13,,,Loc Ninh | An Loc | CTZ 3,Combat Tactical Zone 3,Binh Long
43800,https://cdec.vietnam.ttu.edu/search/item.php?rec=43800,F034601391637,"Captured Documents (CDEC): Combined Military Interrogation Center, Log Number 00-0929-06, 07/09/1967, CTZ 3, Binh Long Province, Loc Ninh District",English,Vietnamese,8,1967/07/09,1967/07/29,1967/07/09,06 7141,,,,Combined Military Interrogation Center,"The Viet Cong, Central Office, SVN, NLFVN",Unknown B Description,Confidential | No Control | No Release Restriction | Raw Intelligence,Foreign Organizations | Doc Indexed MACV | Interrogation report for rallier/returnee | Fixed zero | Indexing system used,,,,,00-0929-06,"Armed Forces | Administrative Organizations, Bureaus, Directorates, & Technical Services | Other | Armed Forces | Post Induction, Non-Specialist Basic & Advanced Training | Armed Forces | Ground Forces | Infantry | Brigades, Regiments, Battalions, & Smaller Units | Armed Forces | Troop & Supply Movement Statistics, Methods, & Operating Procedures | Armed Forces | Effect of Hostilities | On the Military",Log # 00-0929-06 | Biography | Enlisted Personnel | Combined Document Exploitation Center,"Rear | Troops | Effects of air operations, including naval air | REAR | TROOPS | EFFAIR","South Vietnamese, LMilitary, LViet Cong, LCao Dai, LNon-CP Member, LNon-Infiltrator | Unit UT-U60 | Group GP-82 | Company CO-7 | Battalion BN-5 | Division DN-9 | Company CO-7 | Battalion BN-5 | Regiment RT-2 | Division DN-9 | Company CO-7 | Battalion BN-5 | Regiment RT-2 | Division DN-9",Nguyen Van Ga | Ga | Nguyen Van Do | Do,CTZ 3 | CTZ 3 | CTZ 3 | CTZ 3,Combat Tactical Zone 3 | Combat Tactical Zone 3 | Combat Tactical Zone 3 | Combat Tactical Zone 3,Binh Long | Tay Ninh | Tay Ninh | Binh Long
44345,https://cdec.vietnam.ttu.edu/search/item.php?rec=44345,F034601410198,"Captured Documents (CDEC): Unknown Interrogation Source, Log Number 96-5867-67, , Loc Hoa",English,Vietnamese,3,,1967/06/29,1967/06/17,67 1233,,,,Unknown,"The Viet Cong, Central Office, SVN, NLFVN",,Confidential | No Control | No Release Restriction | Raw Intelligence,"Joint UCS, DIA, CINCPAC, MACV and other unified commands | Doc Indexed MACV | State DEpartment Telegram | Fixed zero | Indexing system used","48PXU7217 [11.91257°, 106.57595°]",48PXU7217,11.91257,106.57595,96-5867-67,"Armed Forces | Ground Forces | Infantry | Brigades, Regiments, Battalions, & Smaller Units | Armed Forces | Defense Installations | Shelters | Above Ground | Armed Forces | Tactics & Operations | Ground Tactics & Operating Procedures | Infantry | Attack","Log # 96-5867-67 | Construction, Repair, and Expansion | Operations | Combined Document Exploitation Center",,,,Loc Hoa | Loc Ninh | CTZ 3,Combat Tactical Zone 3,Binh Long
44361,https://cdec.vietnam.ttu.edu/search/item.php?rec=44361,F034601410269,"Captured Documents (CDEC): Unknown Interrogation Source, Log Number 86-6967-67, , Loc Ninh",English,Vietnamese,4,,1967/06/24,1967/06/17,67 1230,,,,Unknown,"The Viet Cong, Central Office, SVN, NLFVN",,Confidential | No Control | No Release Restriction | Raw Intelligence,"Joint UCS, DIA, CINCPAC, MACV and other unified commands | Doc Indexed MACV | State DEpartment Telegram | Fixed zero | Indexing system used",,,,,86-6967-67,"Commerce, Industry, Finance | Government Finance, Banking & Credit, Monetary System | Revenue | Taxes | Governmental Politics, & International Activities & Institutes | Communism & the Communist Party | National Party Organization | Central Committee | Finance Department | Resources, Commodities & Weapons | Agricultural Crops | Grain Crops | Rice",Log # 86-6967-67 | Procurement | Combined Document Exploitation Center,Route-13 | Unknown G Description | RTE13 | NDH6116,,,Loc Ninh | Phuoc Long | CTZ 3 | VIETHOA | Loc Ninh,Combat Tactical Zone 3,Binh Long
44751,https://cdec.vietnam.ttu.edu/search/item.php?rec=44751,F034601420650,"Captured Documents (CDEC): Unknown Interrogation Source, Log Number 00-2167-67, , CTZ 1, Quang Nam Province",English,Vietnamese,3,,1967/07/03,1967/06/20,67 1254,,,,Unknown,"The Viet Cong, Central Office, SVN, NLFVN",,Confidential | No Control | No Release Restriction | Raw Intelligence,"Joint UCS, DIA, CINCPAC, MACV and other unified commands | Doc Indexed MACV | State DEpartment Telegram | Fixed zero | Indexing system used","48PZC1284 [16.11967°, 107.91333°]",48PZC1284,16.11967,107.91333,00-2167-67,"Armed Forces | Irregular & Paramilitary Forces | Unconventional Forces | Resources, Commodities & Weapons | Quartermaster & Miscellaneous Military Equipment | Clothing & Related Equipment | Armed Forces | Ground Force Installations, Except Defense | Types & Locations | Bivouac Areas",Log # 00-2167-67 | Order of Battle | Product Specifications and Description | Combined Document Exploitation Center,,Platoon PL-000,,CTZ 1,Combat Tactical Zone 1,Quang Nam
44800,https://cdec.vietnam.ttu.edu/search/item.php?rec=44800,F034601420874,"Captured Documents (CDEC): Unknown Interrogation Source, Log Number 06-2271-67, 06/05/1967, CTZ 3, Tay Ninh Province",English,Vietnamese,6,1967/06/05,1967/06/11,1967/06/05,67 1257,,,,Viet Cong,"The Viet Cong, Central Office, SVN, NLFVN",,Confidential | No Control | No Release Restriction | Raw Intelligence,Foreign Organizations | Doc Indexed MACV | Captured Official Documents | Fixed zero | Indexing system used,"48PXT4153 [11.33538°, 106.28869°]",48PXT4153,11.33538,106.28869,06-2271-67,Armed Forces | Military Intentions,"Log # 06-2271-67 | Engineering drawings, graphs & technical diagrams and sketches | Combined Document Exploitation Center",Route-LOKIEM | Route-BACHIM | Route-13 | RTELOKIEM | RTEBACHIM | RTE13,US 4th Inf. Div. | Unit UT-D7 | Unit UT-D8 | Unit UT-D9 | Battalion BN-7 | Battalion BN-8 | Battalion BN-9 | Unit UT-B2 | Regiment RT-101 | Agricultural Site AS-9 | Regiment RT-000,,CTZ 3 | VOTUNG | Loc Ninh | TRANGTRANH | Cha Do | TRANGDE | Ba Chin | Suoi Da | Dong Ken | Trai Den,Combat Tactical Zone 3,Tay Ninh
45921,https://cdec.vietnam.ttu.edu/search/item.php?rec=45921,F034601450939,"Captured Documents (CDEC): Unknown Interrogation Source, Log Number 05-1423-06, 04/23/1967, CTZ 3, Tay Ninh Province",English,Vietnamese,16,1967/04/23,1967/04/29,1967/04/23,06 7124,,,,Viet Cong,"The Viet Cong, Central Office, SVN, NLFVN",,Confidential | No Control | No Release Restriction | Raw Intelligence,Foreign Organizations | Doc Indexed MACV | Captured Official Documents | Fixed zero | Indexing system used,"48PXT3538 [11.19998°, 106.23314°]",48PXT3538,11.19998,106.23314,05-1423-06,Armed Forces | General,Log # 05-1423-06 | Biography | Enlisted Personnel | Enlisted Personnel | Combined Document Exploitation Center,History | HISTOR,"US 4th Inf. Div. | South Vietnamese, LMilitary, LViet Cong, LNon-Christian, LNon-CP Member, LNon-Infiltrator | Letter box number LB-803837056 | Unit UT-6",Truong Van Chi | Chi | C:BATRUNG | Trung,CTZ 3 | Loc Thanh | Lo Chung | CTZ 3,Combat Tactical Zone 3 | Combat Tactical Zone 3,Tay Ninh | Hau Hghia
